YEAR,SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,TEAM.1
2019,1,virginia ,1,35.7,123.6,87.9,59.3,33.9,122.6,88.7,0.976,33.41,60.9,52.2,40.9,74.6,55.7,30.3,38.7,56.6,30.0,74.1,12.3,14.7,45.5,27.2,74.6,43.5,27.9,40.9,43.9,25.9,70.0,8.4,17.8,11.1,90.63,1.171,0.898,Virginia
2019,1,duke,8,32.0,120.1,88.1,72.2,31.0,119.3,88.3,0.97,37.37,73.9,58.3,30.2,69.0,53.4,34.6,37.6,52.2,36.1,70.3,16.4,17.7,44.9,29.3,69.0,44.6,24.0,34.7,48.7,29.7,63.9,8.0,19.8,11.2,85.29,1.129,0.913,Duke
2019,1,gonzaga,8,32.8,125.1,92.3,69.8,32.5,124.1,91.6,0.971,21.7,72.0,62.3,36.5,76.7,59.6,36.0,35.3,55.9,30.6,72.9,13.3,14.5,43.1,30.9,76.7,44.2,25.1,34.6,41.1,27.1,69.4,4.9,18.9,7.1,90.91,1.241,0.909,Gonzaga
2019,1,unc,16,29.2,119.9,90.7,74.3,28.0,119.2,91.2,0.956,36.98,76.3,51.9,36.5,74.2,52.9,30.9,35.9,61.3,34.6,76.8,9.8,17.1,47.5,32.9,74.2,48.3,28.9,42.5,54.7,23.2,65.4,11.1,18.5,10.0,81.82,1.126,0.955,North Carolina
2019,2,michigan state,4,31.4,121.7,90.4,67.4,28.1,120.0,91.9,0.956,37.03,69.2,54.8,38.4,75.0,55.8,35.0,37.8,68.2,34.1,73.2,14.1,18.7,41.3,31.8,75.0,43.7,27.7,37.0,53.1,26.8,65.9,8.3,14.9,10.6,82.35,1.144,0.951,Michigan St.
2019,2,kentucky,8,27.4,118.2,90.8,65.8,25.2,116.9,91.7,0.942,33.71,67.2,52.7,36.4,74.0,53.3,42.5,29.8,52.1,36.6,74.2,14.2,18.5,43.6,35.0,74.0,47.0,27.1,38.3,48.2,25.8,63.4,7.7,18.4,8.8,81.82,1.126,0.96,Kentucky
2019,2,michigan,16,29.4,115.5,86.1,64.4,29.1,115.3,86.2,0.966,32.91,65.8,51.8,35.0,69.8,52.1,27.0,40.2,54.2,24.5,74.5,10.6,13.5,44.5,28.9,69.8,44.1,24.9,29.1,45.3,25.5,75.5,9.8,18.3,9.2,82.35,1.078,0.897,Michigan
2019,2,tennessee,16,27.0,122.5,95.5,67.7,27.9,122.9,95.0,0.951,34.04,68.9,55.7,36.2,76.7,55.3,33.4,31.8,60.9,31.6,69.7,14.8,15.9,44.6,34.4,76.7,47.4,34.4,39.8,52.3,30.3,68.4,6.3,18.2,9.8,84.85,1.164,0.99,Tennessee
2019,3,texas tech,2,26.7,112.7,85.9,66.5,25.8,112.1,86.3,0.953,29.68,67.7,52.9,36.8,70.4,53.7,33.5,35.5,51.3,28.6,71.4,15.3,18.2,41.3,30.1,70.4,42.8,37.6,39.7,48.7,28.6,71.4,6.9,23.0,7.0,81.25,1.098,0.953,Texas Tech
2019,3,purdue,8,26.1,121.1,95.0,65.6,25.4,121.0,95.6,0.938,35.32,67.0,51.2,36.4,73.2,52.7,29.4,44.5,53.9,35.0,73.4,13.0,15.9,47.9,34.4,73.2,49.5,32.7,43.0,55.2,26.6,65.0,11.4,19.5,6.1,71.88,1.139,0.999,Purdue
